Model,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
Linknet with mobilenet,Dice class 1,0.6785069809,0.9210150252,0.921567711501664,0.9237218594,0.9245345121,0.9245345121,,,
Params:,Dice class 2,0.2892495824,0.5844390588,0.574170891532494,0.4544779235,0.5759084818,0.5759084818,0.3310591253,0.3647745199,0.3479168226
4546500,Dice class 3,0.3565548359,0.5133845477,0.519362492904945,0.4969667195,0.5208645439,0.5208645439,,,
Inference time:,Dice avg,0.5453331847,0.7447298668,0.743838363181711,0.7088936568,0.745523076,0.745523076,0.577911449,0.5936973384,0.5858043937
0.01808491188,Mean IoU,0.498021543,0.734161377,0.737677872180939,0.7087044716,0.7411316037,0.7411316037,0.4143813848,0.4868071079,0.4505942464
,Accuracy,0.8917759061,0.9432907104,0.945076644420624,0.9453123212,0.9459593892,0.9459593892,0.7000699043,0.746178329,0.7231241167
,Rmse,0.6591877937,0.4691811204,0.457978904247284,0.4594649076,0.4547242224,0.4547242224,0.5462250113,0.5029736161,0.5245993137
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8969144174,0.9635224215,0.963696229359816,0.9671550037,0.9642563941,0.9642563941,0.8721376201,0.8681296661,0.8701336431
Linknet with mobilenetv2,Dice class 1,0.7877271444,0.9249681769,0.928507995304644,0.9315009802,0.9313440327,0.9313440327,,,
Params:,Dice class 2,0.2009384782,0.5092529208,0.49935753612371,0.4790915401,0.5007433399,0.5007433399,0.5927391187,0.6364537712,0.6145964449
4145012,Dice class 3,0.2185901609,0.4252612441,0.458593999656119,0.4530543726,0.4596137613,0.4596137613,,,
Inference time:,Dice avg,0.5260425502,0.7057511908,0.712538940111072,0.7077004742,0.713989382,0.713989382,0.7324383694,0.7522917186,0.742365044
0.01784906252,Mean IoU,0.5024757385,0.7082095742,0.716079711914063,0.7021869421,0.7199732661,0.7199732661,0.6234192848,0.6486710906,0.6360451877
,Accuracy,0.9070575237,0.9456182122,0.946952342987061,0.9517534971,0.9479685426,0.9479685426,0.8125483394,0.8192364573,0.8158923984
,Rmse,0.6189774275,0.4677027762,0.45457249879837,0.4352844357,0.4504696131,0.4504696131,0.4318422377,0.4248917103,0.428366974
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8844119862,0.9619314842,0.962526779773844,0.966186051,0.9628750252,0.9628750252,0.8381173506,0.8511034698,0.8446104102
